finding,status,observed,expected,evidence
run_coverage_unique,pass,"36 rows, 36 unique keys","36 complete unique (instance, seed) keys",candidate per-run CSV
raw_solution_validator,pass,36/36,36/36 raw solutions pass unified validator,raw solution JSON and validation replay
raw_objective_recomputation,pass,36/36,validator objective equals solver objective for every raw solution,raw solver_result objective and validator recomputation
raw_solution_artifacts_complete,pass,36/36,raw JSON and solution JSON for every run,candidate raw/ and solutions/ directories
operator_event_artifacts_complete,pass,"event_csv=1, failure_csv=1, event_rows=231314, failure_rows=196037",one operator event CSV and one failure event CSV,candidate run directory
environment_and_manifest_complete,pass,"environment=True, manifest=1, manifest_integrity=True",environment JSON and checksum-valid run manifest,candidate run directory
source_config_instance_hash_consistency,pass,consistent,source/config/instance/environment hashes agree,"per-run rows, raw records, and environment JSON"
stage00_manifest_unchanged,pass,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,current Stage 0 manifest SHA-256,Stage 0 manifest and run environment
constraint_level_failure_diagnosis,pass,20,at least 3 real raw failure or poor-quality cases,raw operator event logs
constraint_event_replay,pass,"{'operators': {'station_pressure': {'called': True, 'feasible': True, 'accepted': True}, 'time_window_conflict': {'called': True, 'feasible': True, 'accepted': True}, 'worst_energy_detour': {'called': True, 'feasible': True, 'accepted': True}, 'shaw_related': {'called': True, 'feasible': True, 'accepted': True}}, 'accepted_vehicle_increase': False, 'observed_tiers': ['large', 'medium', 'small'], 'focused_actual_max': 20, 'stagnation_escalations': 17898, 'global_best_resets': 144, 'invalid_dynamic_counts': 0}",raw event CSV independently satisfies Stage 2.3 event gates,raw operator event CSV and parameters TOML
stage02_2_metric_supplement_provenance,pass,"{'coverage_ok': True, 'protocol_ok': True, 'protocol': {'algorithm': ['ALNS_STAGE02_ROUTE_QUALITY'], 'operator_profile': ['stage02_route_quality'], 'run_label': ['stage02_quality_instrumented_attempt01'], 'time_limit_seconds': ['30.0'], 'max_iterations': ['1000'], 'threads': ['1'], 'objective_schema': ['vehicles,distance,charging_time,charging_count']}, 'source_hashes': ['0686b3b522be957d2a13abff56a8cd9e788ff4923dbce3238ab86c0ff70982ee'], 'repository_revisions': ['6870b3125e9170a47246ec7333dbe382b7a0d854'], 'instance_hashes_ok': True, 'objectives_match_fixed_baseline': True, 'recorded_metrics_and_feasibility_ok': True}","the fixed Stage 2.2 metric supplement records the formal protocol, source/instance hashes, feasible objectives, and complete coverage",tracked Stage 2.2 readiness metric supplement
stage03_readiness_completeness,pass,36/36 rows,one complete Stage 2.2 versus Stage 2.3 row per run with recorded metrics,stage03_readiness.csv and Stage 2.2 metric supplement
runner_gate_report_complete,pass,present,exactly one runner gate report is present,candidate gate report artifact
independent_complete_rerun_replay,pending,"{'status': 'first_complete_run_pending_independent_rerun', 'current_run_keys': 36}",repeatability evidence and both complete runs are independently verified,"repeatability CSV, first-run raw solutions, and gate reports"
runner_hard_gates,pending,"{'coverage_ok': True, 'validator_ok': True, 'objective_recomputation_ok': True, 'objective_comparison_ok': True, 'objective_observed': {'c101C5': 'equal', 'r105C5': 'equal', 'rc105C5': 'equal', 'c104C10': 'equal', 'r103C10': 'equal', 'rc102C10': 'equal', 'c106C15': 'equal', 'r105C15': 'equal', 'rc103C15': 'equal', 'c101_21': 'equal', 'r101_21': 'equal', 'rc101_21': 'equal'}, 'focused_ok': True, 'focused_observed': {'r101_21': {'mean_vehicle_ok': True, 'distance_guard_ok': True, 'vehicle_stability_ok': True}, 'rc101_21': {'mean_vehicle_ok': True, 'distance_guard_ok': True, 'vehicle_stability_ok': True}}, 'route_elimination_ok': True, 'route_merge_ok': True, 'quality_coverage': {'relocate': True, 'swap': True, 'two_opt_star': True, 'route_segment_destroy': True, 'ejection_chain': True}, 'quality_same_vehicle_distance_improvement': True, 'constraint_event_replay_ok': True, 'stage00_ok': True, 'independent_complete_rerun_ok': True}",independent replay of all Stage 2.3 hard gates passes,"raw solutions, validator results, baseline files, and raw event CSV"
