finding,status,observed,expected,evidence
run_coverage_unique,pass,"36 rows, 36 unique keys","36 complete unique (instance, seed) keys",candidate per-run CSV
raw_solution_validator,pass,36/36,36/36 raw solutions pass unified validator,raw solution JSON and validation replay
raw_objective_recomputation,pass,36/36,validator objective equals solver objective for every raw solution,raw solver_result objective and validator recomputation
raw_solution_artifacts_complete,pass,36/36,raw JSON and solution JSON for every run,candidate raw/ and solutions/ directories
operator_event_artifacts_complete,pass,"event_csv=1, failure_csv=1",one operator event CSV and one failure event CSV,candidate run directory
environment_and_manifest_complete,pass,"environment=True, manifest=1",environment JSON and run manifest,candidate run directory
source_config_instance_hash_consistency,pass,consistent,source/config/instance/environment hashes agree,"per-run rows, raw records, and environment JSON"
stage00_manifest_unchanged,pass,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,current Stage 0 manifest SHA-256,Stage 0 manifest and run environment
constraint_level_failure_diagnosis,pass,20,at least 3 real raw failure or poor-quality cases,raw operator event logs
stage03_readiness_completeness,pass,36/36 rows,one complete Stage 2.2 versus Stage 2.3 row per run,stage03_readiness.csv
runner_hard_gates,pass,pass,all Stage 2.3 runner hard gates pass,candidate gate report
