atomic_budgets,axis,budget_events,budget_ledger_valid,candidate_plan_decisions,decisions,instance,maximum_granted_per_iteration,not_selected,plan_ranking_valid,seed,selected,valid
True,serial_fixed_exact_calls,14,True,13,13,c101C5,0,2,True,2014,4,True
True,parallel_fixed_exact_calls,14,True,13,13,c101C5,0,2,True,2014,4,True
True,serial_wall_clock,197,True,73,73,c101C5,0,2,True,2014,12,True
True,parallel_wall_clock,197,True,73,73,c101C5,0,2,True,2014,12,True
True,serial_fixed_exact_calls,11,True,15,15,c101C5,0,2,True,2015,5,True
True,parallel_fixed_exact_calls,11,True,15,15,c101C5,0,2,True,2015,5,True
True,serial_wall_clock,216,True,72,72,c101C5,0,2,True,2015,16,True
True,parallel_wall_clock,216,True,72,72,c101C5,0,2,True,2015,16,True
True,serial_fixed_exact_calls,19,True,19,19,c101C5,0,2,True,2016,6,True
True,parallel_fixed_exact_calls,19,True,19,19,c101C5,0,2,True,2016,6,True
True,serial_wall_clock,223,True,70,70,c101C5,0,2,True,2016,12,True
True,parallel_wall_clock,223,True,70,70,c101C5,0,2,True,2016,12,True
True,serial_fixed_exact_calls,53,True,605,605,c101_21,1,556,True,2014,42,True
True,parallel_fixed_exact_calls,53,True,605,605,c101_21,1,556,True,2014,42,True
True,serial_wall_clock,69,True,617,617,c101_21,1,559,True,2014,47,True
True,parallel_wall_clock,69,True,617,617,c101_21,1,559,True,2014,47,True
True,serial_fixed_exact_calls,59,True,637,637,c101_21,1,591,True,2015,45,True
True,parallel_fixed_exact_calls,59,True,637,637,c101_21,1,591,True,2015,45,True
True,serial_wall_clock,82,True,677,677,c101_21,1,613,True,2015,62,True
True,parallel_wall_clock,82,True,677,677,c101_21,1,613,True,2015,62,True
True,serial_fixed_exact_calls,54,True,593,593,c101_21,1,547,True,2016,42,True
True,parallel_fixed_exact_calls,54,True,593,593,c101_21,1,547,True,2016,42,True
True,serial_wall_clock,72,True,634,634,c101_21,1,575,True,2016,55,True
True,parallel_wall_clock,72,True,634,634,c101_21,1,575,True,2016,55,True
True,serial_fixed_exact_calls,65,True,556,556,r101_21,1,501,True,2014,48,True
True,parallel_fixed_exact_calls,65,True,556,556,r101_21,1,501,True,2014,48,True
True,serial_wall_clock,91,True,613,613,r101_21,1,542,True,2014,62,True
True,parallel_wall_clock,91,True,613,613,r101_21,1,542,True,2014,62,True
True,serial_fixed_exact_calls,49,True,478,478,r101_21,1,449,True,2015,29,True
True,parallel_fixed_exact_calls,49,True,478,478,r101_21,1,449,True,2015,29,True
True,serial_wall_clock,96,True,550,550,r101_21,1,494,True,2015,55,True
True,parallel_wall_clock,96,True,550,550,r101_21,1,494,True,2015,55,True
True,serial_fixed_exact_calls,99,True,614,614,r101_21,1,540,True,2016,64,True
True,parallel_fixed_exact_calls,99,True,614,614,r101_21,1,540,True,2016,64,True
True,serial_wall_clock,114,True,624,624,r101_21,1,544,True,2016,70,True
True,parallel_wall_clock,112,True,624,624,r101_21,1,544,True,2016,70,True
True,serial_fixed_exact_calls,21,True,22,22,r105C5,0,4,True,2014,11,True
True,parallel_fixed_exact_calls,21,True,22,22,r105C5,0,4,True,2014,11,True
True,serial_wall_clock,179,True,118,118,r105C5,0,4,True,2014,55,True
True,parallel_wall_clock,179,True,118,118,r105C5,0,4,True,2014,55,True
True,serial_fixed_exact_calls,27,True,30,30,r105C5,0,4,True,2015,15,True
True,parallel_fixed_exact_calls,27,True,30,30,r105C5,0,4,True,2015,15,True
True,serial_wall_clock,199,True,135,135,r105C5,0,4,True,2015,63,True
True,parallel_wall_clock,199,True,135,135,r105C5,0,4,True,2015,63,True
True,serial_fixed_exact_calls,20,True,27,27,r105C5,0,4,True,2016,13,True
True,parallel_fixed_exact_calls,20,True,27,27,r105C5,0,4,True,2016,13,True
True,serial_wall_clock,173,True,112,112,r105C5,0,4,True,2016,54,True
True,parallel_wall_clock,173,True,112,112,r105C5,0,4,True,2016,54,True
True,serial_fixed_exact_calls,93,True,678,678,rc101_21,1,623,True,2014,55,True
True,parallel_fixed_exact_calls,93,True,678,678,rc101_21,1,623,True,2014,55,True
True,serial_wall_clock,116,True,692,692,rc101_21,1,632,True,2014,60,True
True,parallel_wall_clock,118,True,692,692,rc101_21,1,632,True,2014,60,True
True,serial_fixed_exact_calls,103,True,498,498,rc101_21,1,427,True,2015,68,True
True,parallel_fixed_exact_calls,103,True,498,498,rc101_21,1,427,True,2015,68,True
True,serial_wall_clock,112,True,498,498,rc101_21,1,427,True,2015,68,True
True,parallel_wall_clock,112,True,498,498,rc101_21,1,427,True,2015,68,True
True,serial_fixed_exact_calls,79,True,716,716,rc101_21,1,660,True,2016,50,True
True,parallel_fixed_exact_calls,79,True,716,716,rc101_21,1,660,True,2016,50,True
True,serial_wall_clock,120,True,761,761,rc101_21,1,681,True,2016,66,True
True,parallel_wall_clock,120,True,761,761,rc101_21,1,681,True,2016,66,True
True,serial_fixed_exact_calls,9,True,12,12,rc105C5,0,1,True,2014,4,True
True,parallel_fixed_exact_calls,9,True,12,12,rc105C5,0,1,True,2014,4,True
True,serial_wall_clock,122,True,74,74,rc105C5,0,6,True,2014,9,True
True,parallel_wall_clock,122,True,74,74,rc105C5,0,6,True,2014,9,True
True,serial_fixed_exact_calls,11,True,18,18,rc105C5,0,2,True,2015,5,True
True,parallel_fixed_exact_calls,11,True,18,18,rc105C5,0,2,True,2015,5,True
True,serial_wall_clock,148,True,91,91,rc105C5,0,10,True,2015,13,True
True,parallel_wall_clock,148,True,91,91,rc105C5,0,10,True,2015,13,True
True,serial_fixed_exact_calls,11,True,15,15,rc105C5,0,1,True,2016,4,True
True,parallel_fixed_exact_calls,11,True,15,15,rc105C5,0,1,True,2016,4,True
True,serial_wall_clock,119,True,69,69,rc105C5,0,6,True,2016,9,True
True,parallel_wall_clock,119,True,69,69,rc105C5,0,6,True,2016,9,True
