stage_id,component,run_label,attempt_or_rerun,canonical_run_label,legacy_run_label,scope,instance,seed,instance_scope,seed_scope,artifact_type,artifact_status,canonical_path,legacy_path,run_status,failure_reason,validator_status,raw_review_status,trusted_review_status,raw_to_summary_status,checksum,checksum_source,source_hash,configuration_hash,instance_hash,environment_hash,stage00_manifest_hash,repository_revision,repository_dirty,reference_repositories,comparison_baseline,supersedes,legacy_path_mapping,storage_policy_version,storage_format,compression,retention_class,evidence_completeness,schema_fingerprint,row_count,byte_size,policy_compliance
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,__all__,__all__,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",manifest_metadata,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/control/stage03.3_exact_deadline_attempt01_run_metadata.json,,partial,not_present,not_verified,not_present,not_applicable,not_published,247d932ad516f8dbe2c73a6cd9b449ccbde306e8e9e922523ac40ec5a0872e9c,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,,,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,json_control,none,control,partial,,,1659,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,__all__,__all__,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",config,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/control/stage03.3_exact_deadline_attempt01_config.toml,,partial,not_present,not_verified,not_present,not_applicable,not_published,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,,,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,toml_control,none,control,partial,,,1379,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",raw,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_raw_c101C5_2014.json,,partial,not_present,not_verified,not_present,not_applicable,not_published,4aeeaeafbc9b78cf0a1abdd42bc8c76ebeba88ad28ffe699b17b330b43932582,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,json,none,critical,partial,,,18368,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",solution,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_solution_c101C5_2014.json,,partial,not_present,not_verified,not_present,not_applicable,not_published,4fe93b7522c433859d5ba934cdbbeeeefa78eed2f26d734f852af207e8ed7217,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,json,none,critical,partial,,,1276,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",environment,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_environment_c101C5_2014.json,,partial,not_present,not_verified,not_present,not_applicable,not_published,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,json_control,none,critical,partial,,,2161,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",route_dictionary,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_route_dictionary_c101C5_2014.parquet,,partial,not_present,not_verified,not_present,not_applicable,not_published,0f66c140140e4450d6d103a5419f167af793b2e2288de8b58c1994f3e2bf825d,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,parquet,zstd,critical,partial,005150756e3c2f9bf1ee9a6236798e8d7a8f650aeffe4ed94319ca5be98b8120,78,5369,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",events,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_events_c101C5_2014.parquet,,partial,not_present,not_verified,not_present,not_applicable,not_published,9faa192bac4386965cf7efd9c8c02d4aa9540389d7f12ea5ada219faad63ee14,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,parquet,zstd,critical,partial,e9f4a8858c2673b52b979c0cd6677cb0aa25a4beb82fe226bed5afb4c2501df8,50682,1137444,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",events,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_screening_checks_c101C5_2014.parquet,,partial,not_present,not_verified,not_present,not_applicable,not_published,a0545c06de4cd32f3fe4b9acaacf243b375fe5fad6e0aae6910944d1172de378,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,parquet,zstd,critical,partial,8b4d1421c399149461c0832d4cf8399279f02f779381c4fa0ffc65b52959b4cb,80830,273949,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",diagnostic,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_diagnostic_c101C5_2014.parquet,,partial,not_present,not_verified,not_present,not_applicable,not_published,01f939c587bc023f4abba85f6091acd9a9df24be766011c0ac4d823999594eb5,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,parquet,zstd,diagnostic,partial,ed345d8744ac61063639d35a7db48e89d0dabab9f09698e6bdfbc16f46d536e2,182,4925,current
stage03.3,exact_deadline,stage03.3_exact_deadline_attempt01,attempt01,stage03.3_exact_deadline_attempt01,,smoke,c101C5,2014,"[""c101C5"",""r105C5"",""rc105C5"",""c101_21"",""r101_21"",""rc101_21""]","[2014,2015,2016]",trace,retained_unsuccessful,results/stage03.3_exact_deadline_attempt01/c101C5/2014/stage03.3_exact_deadline_attempt01_trace_c101C5_2014.json,,partial,not_present,not_verified,not_present,not_applicable,not_published,fc02998387298224bd134e3c240dc9c1522479e8a785bf023a6f32b0ad57d191,artifact_manifest,cddf2ac008194aa0f7e9001735188f856b3a360e27bfd17e010af3c8040aa181,360d50b585d6579a02e392d15bb5f7907a80d9ef5b28c0cfcf15ee33a7dbd21a,49d1af5c570b2cd1f1638d8f264d82c8b6215c80dced8fcb790dbfd336ac2f54,b009e2c2969d9ce1b474c20ec15c0a7fd0fbe0cb58cebe5de2a7c98f645c757e,b226b97e0e67288aaaf85726ad855df71cb81406685c57c8e8c40cd8996aa0da,bd562826da490f76c40c6a2da1ee9e805e7b0a43,False,"{""VRP-EVRP-Project-Hub"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/VRP-EVRP-Project-Hub"",""revision"":""e3a890065105f978187e532642c4442522215e02""},""py-ga-VRPTW"":{""dirty"":false,""path"":""/Users/guoyiyang/Documents/GitHub/FURP-2026-Yiyang-GUO-EVRP-TW/reference/py-ga-VRPTW"",""revision"":""8e005caaaf6471a4505588d88c7f0f5e0d4ebffa""}}",stage03.2_cache_incremental_attempt03,,physical_current_path,artifact-storage-v1,json,none,critical,partial,,,12474,current
